tax	426	427	428	429	430	431	432	433	435	436	437	438	439	440	total
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;Neobacillus mesonae	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
Archaea;Archaea_none;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halococcoides;Halococcoides cellulosivorans	0	4	0	0	0	1	0	0	0	0	0	0	0	1	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus lutrae	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia nevei	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus vulgaris	0	1	0	0	0	0	0	0	0	0	0	0	5	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	3	2	0	0	0	0	0	0	0	0	0	0	1	0	6
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharothrix;Saccharothrix sp. 6-C	0	1	0	0	0	0	0	0	0	0	0	0	0	5	6
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia glumae	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia;Nocardia asteroides	0	3	0	0	0	0	0	0	0	0	0	0	0	3	6
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Nostocales;Hapalosiphonaceae;Fischerella;Fischerella sp. NIES-3754	1	4	0	0	0	0	0	0	0	0	0	0	0	0	5
