task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
94	29/45f0a7	61831	kraken_pipeline:makeReport (4)	COMPLETED	0	2024-05-24 15:24:02.974	22.5s	21.7s	100.6%	424.4 MB	840.7 MB	66.1 MB	32.2 MB
93	42/5c63fa	61336	kraken_pipeline:makeReport (3)	COMPLETED	0	2024-05-24 15:24:02.575	23s	22.1s	97.7%	421.6 MB	828.7 MB	66.1 MB	32.2 MB
92	d5/090825	61349	kraken_pipeline:makeReport (2)	COMPLETED	0	2024-05-24 15:24:02.584	23s	22.1s	97.7%	420.4 MB	833.7 MB	66.1 MB	32.2 MB
98	f8/31526a	61338	kraken_pipeline:makeReport (8)	COMPLETED	0	2024-05-24 15:24:02.577	23.1s	22.1s	98.1%	419.8 MB	843.7 MB	66.1 MB	32.2 MB
104	c9/0bad91	62218	kraken_pipeline:output_results (16)	COMPLETED	0	2024-05-24 15:24:25.622	621ms	4ms	0.0%	0	0	32.8 KB	193 B
103	75/6f4ed1	62327	kraken_pipeline:output_results (15)	COMPLETED	0	2024-05-24 15:24:25.672	641ms	3ms	0.0%	0	0	32.8 KB	193 B
105	78/e70db9	62330	kraken_pipeline:output_results (17)	COMPLETED	0	2024-05-24 15:24:25.673	929ms	6ms	0.0%	0	0	32.8 KB	193 B
102	e0/c7fe44	62217	kraken_pipeline:output_results (14)	COMPLETED	0	2024-05-24 15:24:25.620	1s	7ms	0.0%	0	0	32.8 KB	193 B
106	d0/87a5a6	62454	kraken_pipeline:output_results (18)	COMPLETED	0	2024-05-24 15:24:26.247	775ms	4ms	0.0%	0	0	32.8 KB	193 B
107	56/ff3186	62482	kraken_pipeline:output_results (19)	COMPLETED	0	2024-05-24 15:24:26.315	751ms	5ms	0.0%	0	0	32.8 KB	193 B
96	3a/3fec95	61933	kraken_pipeline:makeReport (6)	COMPLETED	0	2024-05-24 15:24:25.364	18.1s	17.3s	102.8%	429.6 MB	837.7 MB	66.1 MB	32.2 MB
108	dd/928791	62532	kraken_pipeline:output_results (20)	COMPLETED	0	2024-05-24 15:24:43.505	447ms	4ms	0.0%	0	0	32.8 KB	193 B
95	66/c0f9b2	62040	kraken_pipeline:makeReport (5)	COMPLETED	0	2024-05-24 15:24:25.505	18.5s	17.6s	100.2%	422.3 MB	837.7 MB	66.1 MB	32.2 MB
101	d6/c83e97	62042	kraken_pipeline:makeReport (10)	COMPLETED	0	2024-05-24 15:24:25.507	18.6s	17.6s	100.7%	421.6 MB	837.7 MB	66.1 MB	32.2 MB
99	47/0f824d	62094	kraken_pipeline:makeReport (9)	COMPLETED	0	2024-05-24 15:24:25.551	18.6s	17.6s	100.9%	427.1 MB	840.7 MB	66.1 MB	32.2 MB
109	ec/fed19d	62575	kraken_pipeline:output_results (21)	COMPLETED	0	2024-05-24 15:24:44.019	504ms	4ms	0.0%	0	0	32.8 KB	193 B
110	e3/48d52e	62603	kraken_pipeline:output_results (22)	COMPLETED	0	2024-05-24 15:24:44.063	488ms	4ms	0.0%	0	0	32.8 KB	193 B
111	87/7cd2f8	62632	kraken_pipeline:output_results (23)	COMPLETED	0	2024-05-24 15:24:44.121	472ms	2ms	0.0%	0	0	32.8 KB	193 B
